Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
89	1	78.850		0.21	1	 0.124777	-0.00609360	 0.000574791	 0.250039	  1.5	 0.0621010	-0.0687694	0.937
90	1	79.850		0.20	1	 0.124078	-0.00807678	 0.00105024	 0.250091	  1.5	 0.0615140	-0.0706410	0.919
91	1	80.850		0.20	1	 0.122945	-0.00911542	 0.00140251	 0.250168	  1.5	 0.0607712	-0.0712891	0.909
92	1	81.850		0.19	1	 0.121375	-0.00908707	 0.00147665	 0.250269	  1.4	 0.0599492	-0.0705130	0.909
93	1	82.850		0.19	1	 0.119400	-0.00801586	 0.00122909	 0.250393	  1.4	 0.0590853	-0.0683303	0.916
94	1	83.850		0.18	1	 0.117079	-0.00607432	 0.000759697	 0.250536	  1.3	 0.0581595	-0.0649936	0.933
95	1	84.850		0.17	1	 0.114489	-0.00352380	 0.000275513	 0.250693	  1.3	 0.0571070	-0.0609063	0.958
96	1	85.850		0.16	1	 0.111711	-0.000630236	 9.45654e-06	 0.250860	  1.2	 0.0558510	-0.0564907	0.992
97	1	86.060	i05316Gh	0.16	1	 0.111111	 0.00000	 0.00000	 0.250896	  1.2	 0.0555556	-0.0555556	1.000
98	1	87.060		0.18	1	 0.115836	-0.00333693	 1.43418e-06	 0.250593	  1.3	 0.0579171	-0.0612554	0.979
99	1	88.060		0.18	1	 0.117635	-0.000628457	 5.39494e-08	 0.250475	  1.3	 0.0588175	-0.0594460	0.996
100	1	88.171	i39079Gh	0.18	1	 0.117647	 0.00000	 0.00000	 0.250474	  1.4	 0.0588235	-0.0588235	1.000
101	1	88.171	i32995Gh	0.18	1	 0.117647	 0.00000	 0.00000	 0.250474	  1.4	 0.0588235	-0.0588235	1.000
102	1	88.862	i33216Gh	0.18	1	 0.117647	-3.12405e-06	-3.88347e-10	 0.250474	  1.4	 0.0588235	-0.0588267	1.000
103	1	89.554	i31562Gh	0.18	1	 0.117647	 0.00000	 0.00000	 0.250474	  1.4	 0.0588235	-0.0588235	1.000
104	1	90.554		0.20	1	 0.122562	-0.00516993	-0.000530832	 0.250165	  1.5	 0.0615462	-0.0661853	0.967
105	1	91.554		0.21	1	 0.125089	-0.00675619	-0.00130692	 0.250006	  1.5	 0.0631980	-0.0686473	0.948
106	1	92.554		0.21	1	 0.125704	-0.00636749	-0.00140052	 0.249967	  1.5	 0.0635523	-0.0685193	0.943
107	1	93.554		0.21	1	 0.125056	-0.00522646	-0.000698447	 0.250006	  1.5	 0.0628774	-0.0674054	0.951
108	1	94.554		0.20	1	 0.123634	-0.00373257	-9.17096e-06	 0.250091	  1.5	 0.0618216	-0.0655450	0.974
109	1	94.965	i05331Gh	0.20	1	 0.122890	-0.00295885	-5.13086e-06	 0.250136	  1.5	 0.0614475	-0.0644013	0.987
110	1	95.965		0.19	1	 0.121030	-0.00749917	 4.97702e-06	 0.250259	  1.4	 0.0605123	-0.0680164	0.971
111	1	96.965		0.18	1	 0.115583	-0.00486371	 2.54659e-06	 0.250609	  1.3	 0.0577901	-0.0626563	0.981
112	1	97.560	i18974Gh	0.16	1	 0.111111	 0.00000	 0.00000	 0.250896	  1.2	 0.0555556	-0.0555556	1.000
113	1	98.251	i15494Gh	0.16	1	 0.111111	 0.00000	 0.00000	 0.250896	  1.2	 0.0555556	-0.0555556	1.000
114	1	99.251		0.16	1	 0.112317	-0.00297942	-0.000184339	 0.250823	  1.2	 0.0562505	-0.0590456	0.969
115	1	100.251		0.17	1	 0.112715	-0.00485796	-0.000397239	 0.250800	  1.2	 0.0565563	-0.0610170	0.957
116	1	101.251		0.16	1	 0.111901	-0.00500351	-0.000281666	 0.250851	  1.2	 0.0560913	-0.0608132	0.963
117	1	102.251		0.15	1	 0.109379	-0.00197707	-2.64922e-05	 0.251010	  1.1	 0.0547028	-0.0566534	0.988
118	1	102.584	i15500Gh	0.15	1	 0.108108	 0.00000	 0.00000	 0.251090	  1.1	 0.0540541	-0.0540541	1.000
119	1	103.584		0.15	1	 0.108327	-0.00388954	-1.35819e-05	 0.251094	  1.1	 0.0541704	-0.0580463	0.963
120	1	104.584		0.15	1	 0.108380	-0.00770721	-0.000115272	 0.251107	  1.1	 0.0542474	-0.0618393	0.932
121	1	105.584		0.15	1	 0.108228	-0.0113885	-0.000367764	 0.251130	  1.1	 0.0542980	-0.0653187	0.907
122	1	106.584		0.15	1	 0.107833	-0.0148805	-0.000775047	 0.251167	  1.1	 0.0543038	-0.0684093	0.888
123	1	107.584		0.14	1	 0.107146	-0.0181258	-0.00127692	 0.251220	  1.1	 0.0542114	-0.0710603	0.875
124	1	108.584		0.14	1	 0.106114	-0.0210313	-0.00176796	 0.251292	  1.0	 0.0539411	-0.0732044	0.867
125	1	109.584		0.13	1	 0.104675	-0.0234329	-0.00212992	 0.251386	  1.0	 0.0534027	-0.0747057	0.866
126	1	110.584		0.13	1	 0.102763	-0.0250644	-0.00226401	 0.251507	  0.9	 0.0525136	-0.0753140	0.870
127	1	111.584		0.12	1	 0.100316	-0.0255392	-0.00211687	 0.251658	  0.9	 0.0512166	-0.0746389	0.880
128	1	112.584		0.11	1	 0.0972998	-0.0243586	-0.00169978	 0.251842	  0.8	 0.0494998	-0.0721586	0.896
129	1	113.584		0.10	1	 0.0937358	-0.0209695	-0.00110112	 0.252058	  0.7	 0.0474185	-0.0672868	0.918
130	1	114.584		0.09	1	 0.0897419	-0.0148972	-0.000485722	 0.252300	  0.6	 0.0451138	-0.0595253	0.945
131	1	115.584		0.07	1	 0.0855585	-0.00595571	-6.84407e-05	 0.252553	  0.5	 0.0428135	-0.0487008	0.979
132	1	116.126	i61969Gt	0.06	1	 0.0833333	 0.00000	 0.00000	 0.252688	  0.5	 0.0416667	-0.0416667	1.000
133	1	116.653	i53242Gb	0.07	1	 0.0850141	-0.00177467	-2.00765e-08	 0.252580	  0.5	 0.0425071	-0.0442817	0.995
134	1	116.814	i53641Gb	0.07	1	 0.0851064	 0.00000	 0.00000	 0.252574	  0.5	 0.0425532	-0.0425532	1.000
135	1	117.505	i43740Gh	0.07	1	 0.0851064	 0.00000	 0.00000	 0.252574	  0.5	 0.0425532	-0.0425532	1.000
136	1	117.505	i28504Gh	0.07	1	 0.0851064	 0.00000	 0.00000	 0.252574	  0.5	 0.0425532	-0.0425532	1.000
137	1	118.505		0.08	1	 0.0867745	-0.00330464	-0.000657160	 0.252467	  0.6	 0.0437158	-0.0463633	0.981
138	1	119.255	i54364Gb	0.08	1	 0.0865031	-0.00300685	 1.06727e-07	 0.252484	  0.6	 0.0432515	-0.0462585	0.993
139	1	120.255		0.08	1	 0.0873930	-0.00492475	 1.46289e-06	 0.252427	  0.6	 0.0436958	-0.0486220	0.982
140	1	121.005	i05058Gh	0.08	1	 0.0869565	 0.00000	 0.00000	 0.252454	  0.6	 0.0434783	-0.0434783	1.000
141	1	122.005		0.09	1	 0.0906052	-0.00438626	 2.17088e-06	 0.252220	  0.7	 0.0453015	-0.0496899	0.988
142	1	122.420	i15398Gh	0.09	1	 0.0909078	-0.000231982	-1.92497e-06	 0.252199	  0.7	 0.0454549	-0.0456849	0.999
143	1	123.420		0.09	1	 0.0933205	-0.00336085	 5.41327e-05	 0.252137	  0.7	 0.0466332	-0.0500482	0.960
144	1	124.420		0.10	1	 0.0958880	-0.00660700	 0.000209538	 0.252072	  0.7	 0.0478392	-0.0546558	0.923
145	1	125.420		0.10	1	 0.0986087	-0.00995393	 0.000465400	 0.252005	  0.7	 0.0490716	-0.0594910	0.888
146	1	126.420		0.10	1	 0.101478	-0.0133804	 0.000820616	 0.251937	  0.8	 0.0503287	-0.0645296	0.854
147	1	127.420		0.11	1	 0.104488	-0.0168600	 0.00127146	 0.251867	  0.8	 0.0516081	-0.0697395	0.822
148	1	128.420		0.11	1	 0.107625	-0.0203612	 0.00181121	 0.251797	  0.8	 0.0529071	-0.0750795	0.792
149	1	129.420		0.12	1	 0.110875	-0.0238471	 0.00242980	 0.251727	  0.9	 0.0542226	-0.0804995	0.763
150	1	130.420		0.12	1	 0.114215	-0.0272758	 0.00311361	 0.251658	  0.9	 0.0555508	-0.0859401	0.736
151	1	131.420		0.12	1	 0.117620	-0.0306005	 0.00384530	 0.251590	  0.9	 0.0568875	-0.0913332	0.711
152	1	132.420		0.13	1	 0.121060	-0.0337707	 0.00460392	 0.251524	  0.9	 0.0582281	-0.0966027	0.686
153	1	133.420		0.13	1	 0.124500	-0.0367333	 0.00536509	 0.251461	  1.0	 0.0595676	-0.101666	0.664
154	1	134.420		0.13	1	 0.127903	-0.0394333	 0.00610143	 0.251402	  1.0	 0.0609009	-0.106436	0.642
155	1	135.420		0.14	1	 0.131228	-0.0418159	 0.00678326	 0.251347	  1.0	 0.0622225	-0.110822	0.622
156	1	136.420		0.14	1	 0.134434	-0.0438280	 0.00737937	 0.251297	  1.0	 0.0635271	-0.114735	0.604
157	1	137.420		0.14	1	 0.137477	-0.0454200	 0.00785807	 0.251253	  1.0	 0.0648094	-0.118087	0.587
158	1	138.420		0.14	1	 0.140317	-0.0465472	 0.00818829	 0.251216	  1.1	 0.0660643	-0.120800	0.570
159	1	139.420		0.14	1	 0.142915	-0.0471717	 0.00834081	 0.251186	  1.1	 0.0672871	-0.122800	0.556
160	1	140.420		0.15	1	 0.145236	-0.0472635	 0.00828938	 0.251163	  1.1	 0.0684733	-0.124026	0.542
161	1	141.420		0.15	1	 0.147249	-0.0468016	 0.00801195	 0.251146	  1.1	 0.0696186	-0.124432	0.530
162	1	142.420		0.15	1	 0.148930	-0.0457743	 0.00749159	 0.251138	  1.1	 0.0707194	-0.123985	0.518
163	1	143.420		0.15	1	 0.150261	-0.0441799	 0.00671740	 0.251136	  1.1	 0.0717720	-0.122669	0.508
164	1	144.420		0.15	1	 0.151231	-0.0420261	 0.00568519	 0.251141	  1.1	 0.0727728	-0.120484	0.499
165	1	145.420		0.15	1	 0.151834	-0.0393301	 0.00439791	 0.251152	  1.1	 0.0737182	-0.117446	0.492
166	1	146.420		0.15	1	 0.152074	-0.0361177	 0.00286592	 0.251169	  1.1	 0.0746043	-0.113588	0.485
167	1	147.420		0.14	1	 0.151960	-0.0324228	 0.00110701	 0.251191	  1.1	 0.0754266	-0.108956	0.479
168	1	148.420		0.14	1	 0.151507	-0.0282864	-0.000853756	 0.251217	  1.1	 0.0761802	-0.103613	0.475
169	1	149.420		0.14	1	 0.150734	-0.0237554	-0.00298448	 0.251247	  1.0	 0.0768592	-0.0976301	0.471
170	1	150.420		0.14	1	 0.149667	-0.0188824	-0.00524706	 0.251280	  1.0	 0.0774571	-0.0910924	0.469
171	1	151.420		0.14	1	 0.148335	-0.0137238	-0.00759805	 0.251315	  1.0	 0.0779665	-0.0840922	0.468
172	1	152.420		0.14	1	 0.146769	-0.00833960	-0.00998976	 0.251352	  1.0	 0.0783794	-0.0767292	0.468
173	1	153.420		0.13	1	 0.145003	-0.00279168	-0.0123717	 0.251389	  1.0	 0.0786874	-0.0691074	0.469
174	1	154.420		0.13	1	 0.143072	 0.00285708	-0.0146919	 0.251426	  1.0	 0.0788821	-0.0613332	0.471
175	1	155.420		0.13	1	 0.141012	 0.00854414	-0.0168989	 0.251463	  1.0	 0.0789553	-0.0535123	0.474
176	1	156.420		0.13	1	 0.138856	 0.0142086	-0.0189433	 0.251500	  0.9	 0.0788997	-0.0457477	0.478
177	1	157.420		0.13	1	 0.136638	 0.0197927	-0.0207798	 0.251536	  0.9	 0.0787091	-0.0381366	0.483
178	1	158.420		0.12	1	 0.134390	 0.0252428	-0.0223683	 0.251570	  0.9	 0.0783792	-0.0307681	0.489
179	1	159.420		0.12	1	 0.132139	 0.0305110	-0.0236758	 0.251603	  0.9	 0.0779076	-0.0237208	0.497
180	1	160.420		0.12	1	 0.129912	 0.0355556	-0.0246773	 0.251634	  0.9	 0.0772945	-0.0170616	0.505
181	1	161.420		0.12	1	 0.127729	 0.0403425	-0.0253561	 0.251664	  0.9	 0.0765423	-0.0108437	0.515
182	1	162.420		0.12	1	 0.125608	 0.0448451	-0.0257042	 0.251693	  0.9	 0.0756559	-0.00510661	0.526
183	1	163.420		0.12	1	 0.123563	 0.0490444	-0.0257220	 0.251720	  0.9	 0.0746426	 0.000123834	0.538
184	1	164.420		0.11	1	 0.121606	 0.0529291	-0.0254175	 0.251746	  0.8	 0.0735115	 0.00483510	0.551
185	1	165.420		0.11	1	 0.119742	 0.0564949	-0.0248053	 0.251770	  0.8	 0.0722736	 0.00902659	0.566
186	1	166.420		0.11	1	 0.117976	 0.0597435	-0.0239056	 0.251794	  0.8	 0.0709409	 0.0127082	0.581
187	1	167.420		0.11	1	 0.116310	 0.0626821	-0.0227427	 0.251816	  0.8	 0.0695264	 0.0158985	0.598
188	1	168.420		0.11	1	 0.114743	 0.0653224	-0.0213437	 0.251838	  0.8	 0.0680432	 0.0186229	0.617
189	1	169.420		0.11	1	 0.113272	 0.0676792	-0.0197372	 0.251859	  0.8	 0.0665045	 0.0209120	0.636
190	1	170.420		0.11	1	 0.111894	 0.0697698	-0.0179526	 0.251879	  0.8	 0.0649231	 0.0227993	0.657
191	1	171.420		0.11	1	 0.110604	 0.0716131	-0.0160187	 0.251899	  0.8	 0.0633113	 0.0243205	0.679
192	1	172.420		0.11	1	 0.109397	 0.0732286	-0.0139632	 0.251918	  0.8	 0.0616802	 0.0255116	0.703
193	1	173.420		0.10	1	 0.108268	 0.0746363	-0.0118121	 0.251937	  0.8	 0.0600401	 0.0264082	0.728
194	1	174.420		0.10	1	 0.107211	 0.0758556	-0.00958940	 0.251955	  0.8	 0.0584004	 0.0270446	0.755
195	1	175.420		0.10	1	 0.106221	 0.0769051	-0.00731692	 0.251973	  0.8	 0.0567691	 0.0274530	0.783
196	1	176.420		0.10	1	 0.105292	 0.0778029	-0.00501398	 0.251991	  0.8	 0.0551532	 0.0276636	0.813
197	1	177.420		0.10	1	 0.104420	 0.0785653	-0.00269761	 0.252008	  0.7	 0.0535588	 0.0277041	0.844
198	1	178.420		0.10	1	 0.103599	 0.0792079	-0.000382536	 0.252024	  0.7	 0.0519909	 0.0275996	0.877
199	1	179.420		0.10	1	 0.102826	 0.0797447	 0.00191865	 0.252041	  0.7	 0.0504535	 0.0273725	0.912
200	1	180.247	i48509Gh	0.10	1	 0.102219	 0.0801177	 0.00380364	 0.252054	  0.7	 0.0492075	 0.0271066	0.942
201	1	181.247		0.10	1	 0.104825	 0.0763451	 0.00281315	 0.252003	  0.7	 0.0510057	 0.0225263	0.906
202	1	182.247		0.10	1	 0.107893	 0.0719551	 0.00194161	 0.251940	  0.8	 0.0529758	 0.0170377	0.873
203	1	183.247		0.11	1	 0.111493	 0.0668744	 0.00120795	 0.251863	  0.8	 0.0551426	 0.0105238	0.842
204	1	184.247		0.11	1	 0.115699	 0.0610271	 0.000632401	 0.251768	  0.8	 0.0575335	 0.00286121	0.812
205	1	185.247		0.12	1	 0.120591	 0.0543372	 0.000235967	 0.251653	  0.9	 0.0601777	-0.00607641	0.785
206	1	186.247		0.13	1	 0.126251	 0.0467328	 3.98086e-05	 0.251514	  0.9	 0.0631054	-0.0164124	0.760
207	1	187.247		0.14	1	 0.132757	 0.0381520	 6.41631e-05	 0.251346	  1.0	 0.0663464	-0.0282586	0.736
208	1	188.247		0.15	1	 0.140182	 0.0285511	 0.000326856	 0.251145	  1.1	 0.0699278	-0.0417035	0.715
209	1	189.247		0.16	1	 0.148583	 0.0179150	 0.000841294	 0.250908	  1.2	 0.0738707	-0.0567970	0.695
210	1	190.247		0.17	1	 0.157987	 0.00626980	 0.00161394	 0.250630	  1.3	 0.0781865	-0.0735306	0.677
211	1	191.247		0.19	1	 0.168385	-0.00630300	 0.00264136	 0.250308	  1.4	 0.0828716	-0.0918160	0.661
212	1	192.247		0.21	1	 0.179712	-0.0196529	 0.00390714	 0.249940	  1.6	 0.0879023	-0.111462	0.646
213	1	193.247		0.23	1	 0.191837	-0.0335493	 0.00537907	 0.249527	  1.7	 0.0932292	-0.132158	0.634
214	1	194.247		0.26	1	 0.204555	-0.0476769	 0.00700742	 0.249070	  1.9	 0.0987737	-0.153458	0.623
