Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
87	1	73.293		0.39	1	 0.413986	 0.594305	 1.60057	 2.34202	  8.5	-0.593291	-0.412973	0.964
88	1	74.293		0.38	1	 0.589072	 0.499223	 1.60040	 2.34539	  8.4	-0.505664	-0.595512	0.979
89	1	74.926	i11952Gh	0.39	1	 0.666667	 0.444444	 1.60000	 2.33778	  8.7	-0.466667	-0.688889	1.000
90	1	75.926		0.31	1	 0.666668	 0.444322	 1.48174	 2.38512	  6.8	-0.407535	-0.629881	0.983
91	1	76.174	i43723Gh	0.28	1	 0.666654	 0.458479	 1.43554	 2.40076	  6.2	-0.384441	-0.592616	0.986
92	1	76.678	i39517Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
93	1	76.678	i30205Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
94	1	77.678		0.22	1	 0.666754	 0.499475	 1.33377	 2.43333	  4.9	-0.333508	-0.500788	0.971
95	1	78.678		0.22	1	 0.666775	 0.499350	 1.33388	 2.43333	  4.9	-0.333550	-0.500976	0.964
96	1	79.678		0.22	1	 0.666729	 0.499625	 1.33365	 2.43333	  4.9	-0.333459	-0.500563	0.979
97	1	80.304	i36398Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
98	1	80.304	i12045Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
99	1	81.304		0.12	1	 0.666666	 0.601028	 1.22721	 2.49009	  2.7	-0.280273	-0.345911	0.971
100	1	82.304		0.05	1	 0.666542	 0.714763	 1.08058	 2.53181	  1.1	-0.207021	-0.158800	0.964
101	1	83.304		0.01	1	 0.666524	 0.826362	 0.909824	 2.55129	  0.3	-0.121650	 0.0381883	0.979
102	1	83.936	i26412Gh	0.02	1	 0.666667	 0.888889	 0.800000	 2.55111	  0.3	-0.0666667	 0.155556	1.000
103	1	84.809	i12070Gh	0.02	1	 0.666667	 0.888889	 0.800000	 2.55111	  0.3	-0.0666667	 0.155556	0.983
104	1	85.682	i03608Gh	0.02	1	 0.666667	 0.888889	 0.800000	 2.55111	  0.3	-0.0666667	 0.155556	1.000
105	1	85.682	i42017Gh	0.02	1	 0.666667	 0.888889	 0.800000	 2.55111	  0.3	-0.0666667	 0.155556	1.000
106	1	85.682	i33902Gh	0.02	1	 0.666667	 0.888889	 0.800000	 2.55111	  0.3	-0.0666667	 0.155556	1.000
107	1	86.682		0.03	1	 0.614928	 0.918727	 0.826987	 2.54420	  0.6	-0.106029	 0.197769	0.967
108	1	87.682		0.04	1	 0.569210	 0.948698	 0.857339	 2.53534	  1.0	-0.144064	 0.235424	0.949
109	1	88.682		0.06	1	 0.533926	 0.974089	 0.891944	 2.52535	  1.4	-0.179009	 0.261154	0.945
110	1	89.682		0.08	1	 0.511398	 0.991231	 0.931217	 2.51512	  1.8	-0.209910	 0.269924	0.955
111	1	90.682		0.09	1	 0.501187	 0.999110	 0.974244	 2.50533	  2.1	-0.236528	 0.261394	0.979
112	1	91.261	i20406Gh	0.10	1	 0.500000	 1.00000	 1.00000	 2.50000	  2.3	-0.250000	 0.250000	1.000
113	1	91.261	i42419Gh	0.10	1	 0.500000	 1.00000	 1.00000	 2.50000	  2.3	-0.250000	 0.250000	1.000
114	1	92.261		0.11	1	 0.499915	 1.08353	 0.864170	 2.49380	  2.6	-0.182128	 0.401487	0.983
115	1	93.027	i24607Gh	0.13	1	 0.500000	 1.14286	 0.800000	 2.48286	  3.0	-0.150000	 0.492857	1.000
116	1	93.027	i35251Gh	0.13	1	 0.500000	 1.14286	 0.800000	 2.48286	  3.0	-0.150000	 0.492857	1.000
117	1	94.027		0.09	1	 0.502169	 1.03989	 0.906790	 2.50708	  2.1	-0.202311	 0.335410	0.967
118	1	95.027		0.07	1	 0.524056	 0.913508	 1.01896	 2.51845	  1.6	-0.247452	 0.141999	0.949
119	1	96.027		0.08	1	 0.561988	 0.777811	 1.12751	 2.51333	  1.8	-0.282761	-0.0669382	0.945
120	1	97.027		0.12	1	 0.606772	 0.650668	 1.22315	 2.49153	  2.7	-0.308188	-0.264291	0.955
121	1	98.027		0.18	1	 0.647910	 0.546344	 1.29953	 2.45671	  4.0	-0.325809	-0.427375	0.980
122	1	98.593	i47543Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
123	1	98.593	i00570Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
124	1	98.593	i29243Gh	0.22	1	 0.666667	 0.500000	 1.33333	 2.43333	  4.9	-0.333333	-0.500000	1.000
125	1	99.593		0.22	1	 0.666692	 0.499847	 1.33346	 2.43333	  4.9	-0.333384	-0.500230	0.983
