Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
143	1	123.420		0.20	1	 0.500060	 0.500979	 0.221288	 0.624286	  1.3	 0.139386	 0.140305	0.960
144	1	124.420		0.20	1	 0.500499	 0.500003	 0.221200	 0.624556	  1.2	 0.139650	 0.139154	0.923
145	1	125.420		0.19	1	 0.501087	 0.498591	 0.221611	 0.624831	  1.2	 0.139738	 0.137242	0.888
146	1	126.420		0.18	1	 0.501847	 0.496705	 0.222574	 0.625108	  1.2	 0.139637	 0.134495	0.854
147	1	127.420		0.18	1	 0.502804	 0.494307	 0.224138	 0.625387	  1.1	 0.139333	 0.130836	0.822
148	1	128.420		0.17	1	 0.503979	 0.491363	 0.226357	 0.625666	  1.1	 0.138811	 0.126195	0.792
149	1	129.420		0.16	1	 0.505394	 0.487842	 0.229282	 0.625944	  1.0	 0.138056	 0.120504	0.763
150	1	130.420		0.16	1	 0.507068	 0.483718	 0.232961	 0.626220	  1.0	 0.137054	 0.113703	0.736
151	1	131.420		0.15	1	 0.509018	 0.478970	 0.237441	 0.626491	  0.9	 0.135789	 0.105741	0.711
152	1	132.420		0.14	1	 0.511254	 0.473585	 0.242761	 0.626756	  0.9	 0.134247	 0.0965776	0.686
153	1	133.420		0.14	1	 0.513784	 0.467557	 0.248958	 0.627012	  0.9	 0.132413	 0.0861859	0.664
154	1	134.420		0.13	1	 0.516609	 0.460888	 0.256058	 0.627259	  0.8	 0.130276	 0.0745545	0.642
155	1	135.420		0.12	1	 0.519722	 0.453588	 0.264079	 0.627494	  0.8	 0.127822	 0.0616877	0.622
156	1	136.420		0.12	1	 0.523113	 0.445679	 0.273030	 0.627715	  0.7	 0.125042	 0.0476076	0.604
157	1	137.420		0.11	1	 0.526763	 0.437189	 0.282907	 0.627920	  0.7	 0.121928	 0.0323536	0.587
158	1	138.420		0.11	1	 0.530646	 0.428153	 0.293694	 0.628109	  0.7	 0.118476	 0.0159832	0.570
159	1	139.420		0.10	1	 0.534731	 0.418617	 0.305360	 0.628278	  0.6	 0.114685	-0.00142873	0.556
160	1	140.420		0.10	1	 0.538981	 0.408631	 0.317862	 0.628428	  0.6	 0.110559	-0.0197904	0.542
161	1	141.420		0.10	1	 0.543353	 0.398253	 0.331141	 0.628556	  0.6	 0.106106	-0.0389941	0.530
162	1	142.420		0.09	1	 0.547803	 0.387546	 0.345122	 0.628661	  0.6	 0.101340	-0.0589167	0.518
163	1	143.420		0.09	1	 0.552281	 0.376578	 0.359716	 0.628742	  0.6	 0.0962822	-0.0794206	0.508
164	1	144.420		0.09	1	 0.556736	 0.365423	 0.374819	 0.628799	  0.6	 0.0909584	-0.100354	0.499
165	1	145.420		0.09	1	 0.561116	 0.354161	 0.390311	 0.628832	  0.6	 0.0854024	-0.121553	0.492
166	1	146.420		0.09	1	 0.565368	 0.342875	 0.406058	 0.628839	  0.6	 0.0796549	-0.142838	0.485
167	1	147.420		0.09	1	 0.569438	 0.331655	 0.421913	 0.628821	  0.6	 0.0737625	-0.164021	0.479
168	1	148.420		0.09	1	 0.573275	 0.320598	 0.437719	 0.628779	  0.6	 0.0677781	-0.184899	0.475
169	1	149.420		0.09	1	 0.576827	 0.309804	 0.453308	 0.628714	  0.6	 0.0617596	-0.205263	0.471
170	1	150.420		0.09	1	 0.580045	 0.299380	 0.468508	 0.628627	  0.6	 0.0557685	-0.224896	0.469
171	1	151.420		0.10	1	 0.582880	 0.289435	 0.483143	 0.628521	  0.6	 0.0498686	-0.243577	0.468
172	1	152.420		0.10	1	 0.585291	 0.280079	 0.497043	 0.628397	  0.6	 0.0441239	-0.261088	0.468
173	1	153.420		0.10	1	 0.587237	 0.271423	 0.510043	 0.628258	  0.7	 0.0385968	-0.277217	0.469
174	1	154.420		0.11	1	 0.588684	 0.263571	 0.521993	 0.628108	  0.7	 0.0333455	-0.291768	0.471
175	1	155.420		0.11	1	 0.589606	 0.256620	 0.532762	 0.627951	  0.7	 0.0284221	-0.304564	0.474
176	1	156.420		0.12	1	 0.589984	 0.250654	 0.542242	 0.627791	  0.7	 0.0238707	-0.315459	0.478
177	1	157.420		0.12	1	 0.589807	 0.245742	 0.550356	 0.627631	  0.8	 0.0197255	-0.324339	0.483
178	1	158.420		0.12	1	 0.589075	 0.241933	 0.557055	 0.627476	  0.8	 0.0160101	-0.331132	0.489
179	1	159.420		0.13	1	 0.587797	 0.239255	 0.562325	 0.627329	  0.8	 0.0127363	-0.335806	0.497
180	1	160.420		0.13	1	 0.585993	 0.237711	 0.566183	 0.627195	  0.8	 0.00990479	-0.338377	0.505
181	1	161.420		0.13	1	 0.583691	 0.237284	 0.568680	 0.627075	  0.8	 0.00750545	-0.338901	0.515
182	1	162.420		0.14	1	 0.580928	 0.237934	 0.569891	 0.626973	  0.9	 0.00551856	-0.337476	0.526
183	1	163.420		0.14	1	 0.577748	 0.239600	 0.569915	 0.626891	  0.9	 0.00391645	-0.334232	0.538
184	1	164.420		0.14	1	 0.574200	 0.242204	 0.568870	 0.626829	  0.9	 0.00266530	-0.329331	0.551
185	1	165.420		0.14	1	 0.570337	 0.245658	 0.566883	 0.626787	  0.9	 0.00172714	-0.322952	0.566
186	1	166.420		0.14	1	 0.566212	 0.249862	 0.564089	 0.626767	  0.9	 0.00106174	-0.315289	0.581
187	1	167.420		0.14	1	 0.561881	 0.254712	 0.560624	 0.626767	  0.9	 0.000628388	-0.306541	0.598
188	1	168.420		0.14	1	 0.557396	 0.260102	 0.556621	 0.626787	  0.9	 0.000387344	-0.296907	0.617
189	1	169.420		0.14	1	 0.552808	 0.265929	 0.552205	 0.626825	  0.9	 0.000301082	-0.286578	0.636
190	1	170.420		0.14	1	 0.548162	 0.272093	 0.547492	 0.626880	  0.9	 0.000335147	-0.275734	0.657
191	1	171.420		0.14	1	 0.543501	 0.278502	 0.542584	 0.626949	  0.9	 0.000458730	-0.264541	0.679
192	1	172.420		0.13	1	 0.538864	 0.285071	 0.537574	 0.627031	  0.8	 0.000644963	-0.253148	0.703
193	1	173.420		0.13	1	 0.534281	 0.291724	 0.532539	 0.627124	  0.8	 0.000870983	-0.241686	0.728
194	1	174.420		0.13	1	 0.529782	 0.298396	 0.527546	 0.627226	  0.8	 0.00111782	-0.230268	0.755
195	1	175.420		0.13	1	 0.525388	 0.305028	 0.522648	 0.627336	  0.8	 0.00137014	-0.218990	0.783
196	1	176.420		0.12	1	 0.521119	 0.311574	 0.517887	 0.627451	  0.8	 0.00161593	-0.207930	0.813
197	1	177.420		0.12	1	 0.516989	 0.317992	 0.513297	 0.627571	  0.8	 0.00184610	-0.197151	0.844
198	1	178.420		0.12	1	 0.513010	 0.324251	 0.508901	 0.627694	  0.7	 0.00205410	-0.186704	0.877
199	1	179.420		0.11	1	 0.509188	 0.330326	 0.504717	 0.627818	  0.7	 0.00223552	-0.176626	0.912
200	1	180.247	i48509Gh	0.11	1	 0.506150	 0.335198	 0.501422	 0.627922	  0.7	 0.00236356	-0.168588	0.942
201	1	181.247		0.10	1	 0.507327	 0.337030	 0.503232	 0.628308	  0.6	 0.00204727	-0.168249	0.906
202	1	182.247		0.09	1	 0.508149	 0.339215	 0.505024	 0.628679	  0.6	 0.00156247	-0.167372	0.873
203	1	183.247		0.08	1	 0.508573	 0.341774	 0.506802	 0.629033	  0.5	 0.000885482	-0.165913	0.842
204	1	184.247		0.08	1	 0.508550	 0.344730	 0.508567	 0.629367	  0.5	-8.33333e-06	-0.163828	0.812
205	1	185.247		0.07	1	 0.508036	 0.348099	 0.510324	 0.629679	  0.4	-0.00114404	-0.161081	0.785
206	1	186.247		0.06	1	 0.506986	 0.351892	 0.512079	 0.629966	  0.4	-0.00254638	-0.157641	0.760
207	1	187.247		0.05	1	 0.505362	 0.356110	 0.513840	 0.630227	  0.3	-0.00423870	-0.153491	0.736
208	1	188.247		0.05	1	 0.503133	 0.360743	 0.515616	 0.630457	  0.3	-0.00624161	-0.148631	0.715
209	1	189.247		0.04	1	 0.500279	 0.365764	 0.517422	 0.630656	  0.3	-0.00857131	-0.143087	0.695
210	1	190.247		0.04	1	 0.496799	 0.371122	 0.519274	 0.630820	  0.2	-0.0112375	-0.136914	0.677
211	1	191.247		0.04	1	 0.492712	 0.376746	 0.521195	 0.630948	  0.2	-0.0142411	-0.130208	0.661
212	1	192.247		0.03	1	 0.488067	 0.382530	 0.523211	 0.631039	  0.2	-0.0175723	-0.123110	0.646
213	1	193.247		0.03	1	 0.482941	 0.388341	 0.525357	 0.631092	  0.2	-0.0212080	-0.115808	0.634
214	1	194.247		0.03	1	 0.477448	 0.394017	 0.527670	 0.631106	  0.2	-0.0251112	-0.108542	0.623
215	1	195.247		0.03	1	 0.471731	 0.399370	 0.530192	 0.631081	  0.2	-0.0292307	-0.101591	0.613
216	1	196.247		0.03	1	 0.465961	 0.404203	 0.532967	 0.631018	  0.2	-0.0335029	-0.0952610	0.606
217	1	197.247		0.04	1	 0.460324	 0.408316	 0.536035	 0.630919	  0.2	-0.0378557	-0.0898629	0.600
218	1	198.247		0.04	1	 0.455005	 0.411534	 0.539433	 0.630785	  0.3	-0.0422137	-0.0856848	0.595
219	1	199.247		0.04	1	 0.450175	 0.413717	 0.543185	 0.630618	  0.3	-0.0465049	-0.0829626	0.593
220	1	200.247		0.05	1	 0.445968	 0.414780	 0.547302	 0.630418	  0.3	-0.0506669	-0.0818545	0.591
221	1	201.247		0.06	1	 0.442473	 0.414701	 0.551778	 0.630187	  0.3	-0.0546525	-0.0824247	0.592
222	1	202.247		0.06	1	 0.439726	 0.413520	 0.556592	 0.629923	  0.4	-0.0584327	-0.0846386	0.594
223	1	203.247		0.07	1	 0.437710	 0.411336	 0.561704	 0.629627	  0.4	-0.0619967	-0.0883709	0.598
224	1	204.247		0.08	1	 0.436364	 0.408290	 0.567064	 0.629296	  0.5	-0.0653501	-0.0934241	0.604
225	1	205.247		0.09	1	 0.435590	 0.404550	 0.572612	 0.628928	  0.5	-0.0685109	-0.0995517	0.611
226	1	206.247		0.10	1	 0.435274	 0.400295	 0.578284	 0.628522	  0.6	-0.0715046	-0.106484	0.620
