Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
76	1	65.893		0.34	1	 0.989537	 1.12279	 1.69845	 1.28501	  5.2	-0.354457	-0.221200	0.948
77	1	66.893		0.32	1	 0.988416	 1.12415	 1.68298	 1.28759	  5.0	-0.347284	-0.211552	0.944
78	1	67.893		0.31	1	 0.990378	 1.12685	 1.66337	 1.29076	  4.8	-0.336495	-0.200023	0.954
79	1	68.893		0.29	1	 0.995398	 1.13059	 1.64055	 1.29439	  4.5	-0.322577	-0.187390	0.978
80	1	69.523	i51333Gb	0.28	1	 1.00000	 1.13333	 1.62500	 1.29684	  4.3	-0.312500	-0.179167	1.000
81	1	69.527	i11909Gh	0.28	1	 1.00033	 1.13322	 1.62500	 1.29686	  4.3	-0.312337	-0.179441	1.000
82	1	70.527		0.27	1	 1.08586	 1.09943	 1.62508	 1.29944	  4.1	-0.269609	-0.256038	0.983
83	1	71.293	i17512Gh	0.27	1	 1.14286	 1.07143	 1.62500	 1.29865	  4.2	-0.241071	-0.312500	1.000
84	1	71.293	i47417Gh	0.27	1	 1.14286	 1.07143	 1.62500	 1.29865	  4.2	-0.241071	-0.312500	1.000
85	1	71.293	i11934Gh	0.27	1	 1.14286	 1.07143	 1.62500	 1.29865	  4.2	-0.241071	-0.312500	1.000
86	1	72.293		0.29	1	 1.21527	 1.02755	 1.62527	 1.29412	  4.5	-0.205001	-0.392720	0.971
87	1	73.293		0.33	1	 1.27763	 0.980249	 1.62539	 1.28589	  5.1	-0.173880	-0.471261	0.964
88	1	74.293		0.38	1	 1.31927	 0.938001	 1.62525	 1.27548	  5.9	-0.152991	-0.534263	0.979
89	1	74.926	i11952Gh	0.42	1	 1.33331	 0.916717	 1.62500	 1.26870	  6.4	-0.145846	-0.562437	1.000
90	1	75.926		0.40	1	 1.33335	 0.897309	 1.60360	 1.27171	  6.2	-0.135126	-0.571168	0.983
91	1	76.174	i43723Gh	0.39	1	 1.33333	 0.898842	 1.59017	 1.27407	  6.0	-0.128416	-0.562908	0.986
92	1	76.678	i39517Gh	0.36	1	 1.33333	 0.909091	 1.55556	 1.28039	  5.5	-0.111111	-0.535354	1.000
93	1	76.678	i30205Gh	0.36	1	 1.33333	 0.909091	 1.55556	 1.28039	  5.5	-0.111111	-0.535354	1.000
94	1	77.678		0.30	1	 1.32108	 0.943586	 1.55582	 1.29229	  4.7	-0.117369	-0.494865	0.971
95	1	78.678		0.24	1	 1.29899	 0.990467	 1.54302	 1.30537	  3.7	-0.122015	-0.430539	0.964
96	1	79.678		0.18	1	 1.26983	 1.04364	 1.51900	 1.31795	  2.8	-0.124583	-0.350781	0.979
97	1	80.304	i36398Gh	0.14	1	 1.25000	 1.07692	 1.50000	 1.32493	  2.3	-0.125000	-0.298077	1.000
