Nr	Group	Position	Locus	LOD	# Iter.	mu_A	mu_H	mu_B	Variance	% Expl.	Additive	Dominance	GIC
74	1	62.917		0.05	1	 1.44271	 0.789584	 701.211	 1.24148	  0.6	-349.884	-350.537	0.956
75	1	63.917		0.08	1	 1.47264	 0.834590	 706.894	 1.23644	  1.0	-352.711	-353.349	0.960
76	1	64.917		0.08	1	 1.48805	 1.22015	 573.228	 1.23709	  1.0	-285.870	-286.138	0.982
77	1	65.419	i40126Gh	0.05	1	 1.50000	 1.44000	 438.721	 1.24056	  0.7	-218.610	-218.670	1.000
78	1	65.419	i20958Gh	0.05	1	 1.50000	 1.44000	 438.721	 1.24056	  0.7	-218.610	-218.670	1.000
79	1	65.419	i46420Gh	0.05	1	 1.50000	 1.44000	 438.721	 1.24056	  0.7	-218.610	-218.670	1.000
80	1	66.419		0.73	1	 1.46898	 1.01661	 3788.22	 1.13831	  8.9	-1893.38	-1893.83	0.988
81	1	66.849	i27511Gh	0.92	1	 1.44444	 1.36000	 4027.97	 1.11062	 11.1	-2013.26	-2013.35	1.000
82	1	66.849	i23216Gh	0.92	1	 1.44444	 1.36000	 4027.97	 1.11062	 11.1	-2013.26	-2013.35	1.000
83	1	67.849		1.19	1	 1.58917	 0.0666972	 14755.3	 1.07312	 14.1	-7376.84	-7378.36	0.988
84	1	68.275	i28536Gh		1								1.000
85	1	69.275		1.33	1	 1.60280	 1.31856	 17.8881	 1.05432	 15.6	-8.14263	-8.42687	0.967
86	1	70.275		1.31	1	 1.57555	 1.32597	 9.59127	 1.05714	 15.4	-4.00786	-4.25744	0.946
87	1	71.275		1.29	1	 1.54527	 1.33584	 6.82631	 1.05978	 15.2	-2.64052	-2.84995	0.938
88	1	72.275		1.27	1	 1.51434	 1.34749	 5.44666	 1.06206	 15.0	-1.96616	-2.13301	0.944
89	1	73.275		1.26	1	 1.48497	 1.36008	 4.62247	 1.06386	 14.8	-1.56875	-1.69364	0.962
90	1	74.275		1.25	1	 1.45872	 1.37282	 4.07657	 1.06516	 14.7	-1.30892	-1.39483	0.993
91	1	74.449	i30824Gh	1.24	1	 1.45455	 1.37500	 4.00000	 1.06534	 14.7	-1.27273	-1.35227	1.000
92	1	75.449		1.13	1	 1.45199	 1.33139	 4.02329	 1.08137	 13.4	-1.28565	-1.40625	0.962
93	1	76.449		0.96	1	 1.45010	 1.29456	 3.93184	 1.10501	 11.5	-1.24087	-1.39640	0.929
94	1	77.449		0.75	1	 1.44815	 1.27351	 3.69931	 1.13513	  9.1	-1.12558	-1.30022	0.900
95	1	78.449		0.53	1	 1.44524	 1.27548	 3.33546	 1.16802	  6.5	-0.945108	-1.11487	0.876
96	1	79.449		0.32	1	 1.44071	 1.30161	 2.89296	 1.19849	  4.1	-0.726122	-0.865225	0.857
97	1	80.449		0.17	1	 1.43453	 1.34595	 2.44489	 1.22228	  2.2	-0.505181	-0.593759	0.841
98	1	81.449		0.07	1	 1.42723	 1.39907	 2.05049	 1.23773	  0.9	-0.311630	-0.339787	0.830
99	1	82.449		0.02	1	 1.41954	 1.45260	 1.73774	 1.24555	  0.3	-0.159103	-0.126037	0.823
100	1	83.449		0.01	1	 1.41210	 1.50141	 1.50799	 1.24761	  0.1	-0.0479451	 0.0413667	0.821
101	1	84.449		0.02	1	 1.40534	 1.54334	 1.34870	 1.24587	  0.3	 0.0283162	 0.166324	0.823
102	1	85.449		0.05	1	 1.39947	 1.57812	 1.24369	 1.24189	  0.6	 0.0778899	 0.256544	0.829
103	1	86.449		0.08	1	 1.39459	 1.60637	 1.17819	 1.23673	  1.0	 0.108196	 0.319983	0.840
104	1	87.449		0.11	1	 1.39070	 1.62903	 1.14054	 1.23109	  1.5	 0.125081	 0.363405	0.855
105	1	88.449		0.15	1	 1.38779	 1.64702	 1.12209	 1.22538	  1.9	 0.132850	 0.392084	0.874
106	1	89.449		0.19	1	 1.38578	 1.66118	 1.11666	 1.21984	  2.4	 0.134559	 0.409962	0.898
107	1	90.449		0.22	1	 1.38462	 1.67221	 1.11994	 1.21459	  2.8	 0.132339	 0.419927	0.926
108	1	91.449		0.25	1	 1.38423	 1.68066	 1.12892	 1.20970	  3.2	 0.127655	 0.424081	0.959
109	1	92.449		0.28	1	 1.38455	 1.68699	 1.14153	 1.20518	  3.5	 0.121512	 0.423955	0.996
110	1	92.544	i00147Gh	0.28	1	 1.38462	 1.68750	 1.14286	 1.20477	  3.6	 0.120879	 0.423764	1.000
111	1	92.544	i25270Gh	0.28	1	 1.38462	 1.68750	 1.14286	 1.20477	  3.6	 0.120879	 0.423764	1.000
112	1	92.544	i20734Gh	0.28	1	 1.38462	 1.68750	 1.14286	 1.20477	  3.6	 0.120879	 0.423764	1.000
113	1	92.544	i04035Gh	0.28	1	 1.38462	 1.68750	 1.14286	 1.20477	  3.6	 0.120879	 0.423764	1.000
114	1	92.544	i33590Gh	0.28	1	 1.38462	 1.68750	 1.14286	 1.20477	  3.6	 0.120879	 0.423764	1.000
115	1	93.544		0.25	1	 1.37539	 1.68095	 1.17136	 1.21050	  3.1	 0.102015	 0.407574	0.964
116	1	94.544		0.21	1	 1.37018	 1.67353	 1.19824	 1.21537	  2.7	 0.0859721	 0.389318	0.937
117	1	95.544		0.19	1	 1.36712	 1.66687	 1.22291	 1.21927	  2.4	 0.0721080	 0.371852	0.918
118	1	96.544		0.17	1	 1.36455	 1.66213	 1.24532	 1.22217	  2.2	 0.0596166	 0.357198	0.908
119	1	97.544		0.16	1	 1.36131	 1.65990	 1.26587	 1.22412	  2.0	 0.0477208	 0.346313	0.906
120	1	98.544		0.15	1	 1.35679	 1.66022	 1.28534	 1.22519	  1.9	 0.0357259	 0.339149	0.912
121	1	99.544		0.15	1	 1.35086	 1.66265	 1.30485	 1.22550	  1.9	 0.0230063	 0.334798	0.927
122	1	100.544		0.15	1	 1.34369	 1.66635	 1.32565	 1.22514	  1.9	 0.00902106	 0.331680	0.951
123	1	101.544		0.16	1	 1.33571	 1.67017	 1.34888	 1.22425	  2.0	-0.00658285	 0.327874	0.982
124	1	101.817	i54086Gb	0.16	1	 1.33347	 1.67107	 1.35574	 1.22393	  2.0	-0.0111353	 0.326472	0.992
125	1	102.817		0.06	1	 1.40054	 1.58827	 1.38321	 1.24024	  0.7	 0.00866571	 0.196392	0.983
126	1	103.463	i04034Gh	0.02	1	 1.45455	 1.53333	 1.40000	 1.24613	  0.2	 0.0272727	 0.106061	1.000
127	1	103.463	i25339Gh	0.02	1	 1.45455	 1.53333	 1.40000	 1.24613	  0.2	 0.0272727	 0.106061	1.000
128	1	103.463	i22589Gh	0.02	1	 1.45455	 1.53333	 1.40000	 1.24613	  0.2	 0.0272727	 0.106061	1.000
129	1	104.463		0.05	1	 1.44080	 1.57697	 1.34669	 1.24055	  0.7	 0.0470555	 0.183226	0.969
130	1	105.463		0.11	1	 1.42644	 1.61944	 1.29327	 1.23223	  1.4	 0.0665839	 0.259587	0.956
131	1	106.463		0.17	1	 1.41338	 1.65522	 1.24635	 1.22200	  2.2	 0.0835117	 0.325351	0.961
132	1	107.463		0.24	1	 1.40325	 1.68032	 1.21108	 1.21116	  3.0	 0.0960880	 0.373152	0.984
133	1	107.897	i33980Gh	0.27	1	 1.40000	 1.68750	 1.20000	 1.20660	  3.4	 0.100000	 0.387500	1.000
134	1	108.897		0.31	1	 1.39956	 1.70795	 1.16821	 1.20142	  3.8	 0.115674	 0.424062	0.963
135	1	109.897		0.34	1	 1.40037	 1.72636	 1.13960	 1.19656	  4.2	 0.130383	 0.456379	0.934
136	1	110.897		0.37	1	 1.40251	 1.74224	 1.11511	 1.19217	  4.6	 0.143699	 0.483437	0.911
137	1	111.897		0.39	1	 1.40603	 1.75538	 1.09521	 1.18835	  4.9	 0.155412	 0.504758	0.894
138	1	112.897		0.41	1	 1.41098	 1.76576	 1.07991	 1.18512	  5.1	 0.165534	 0.520310	0.885
139	1	113.897		0.43	1	 1.41741	 1.77348	 1.06891	 1.18249	  5.3	 0.174253	 0.530317	0.881
140	1	114.897		0.44	1	 1.42543	 1.77864	 1.06170	 1.18042	  5.5	 0.181863	 0.535070	0.885
141	1	115.897		0.45	1	 1.43514	 1.78124	 1.05776	 1.17889	  5.6	 0.188690	 0.534791	0.895
142	1	116.897		0.46	1	 1.44665	 1.78121	 1.05662	 1.17786	  5.7	 0.195018	 0.529580	0.912
143	1	117.897		0.46	1	 1.45995	 1.77837	 1.05787	 1.17733	  5.8	 0.201037	 0.519464	0.936
144	1	118.897		0.46	1	 1.47486	 1.77255	 1.06124	 1.17728	  5.8	 0.206809	 0.504502	0.967
145	1	119.069	i37060Gh	0.46	1	 1.47756	 1.77124	 1.06202	 1.17732	  5.8	 0.207773	 0.501453	0.972
146	1	120.069		0.44	1	 1.46336	 1.78533	 1.06343	 1.18029	  5.5	 0.199962	 0.521936	0.940
147	1	121.069		0.42	1	 1.44847	 1.79693	 1.06900	 1.18362	  5.3	 0.189737	 0.538195	0.912
148	1	122.069		0.40	1	 1.43321	 1.80520	 1.07946	 1.18732	  5.0	 0.176874	 0.548859	0.891
149	1	123.069		0.37	1	 1.41790	 1.80938	 1.09537	 1.19133	  4.6	 0.161266	 0.552742	0.875
150	1	124.069		0.34	1	 1.40287	 1.80898	 1.11693	 1.19559	  4.3	 0.142973	 0.549084	0.865
151	1	125.069		0.31	1	 1.38840	 1.80390	 1.14388	 1.19996	  3.9	 0.122261	 0.537756	0.861
152	1	126.069		0.29	1	 1.37470	 1.79445	 1.17550	 1.20427	  3.6	 0.0995995	 0.519355	0.862
153	1	127.069		0.26	1	 1.36186	 1.78138	 1.21062	 1.20834	  3.3	 0.0756205	 0.495140	0.869
154	1	128.069		0.24	1	 1.34990	 1.76567	 1.24783	 1.21198	  3.0	 0.0510366	 0.466810	0.882
155	1	129.069		0.22	1	 1.33879	 1.74844	 1.28568	 1.21507	  2.7	 0.0265535	 0.436203	0.900
156	1	130.069		0.20	1	 1.32846	 1.73068	 1.32287	 1.21751	  2.5	 0.00279328	 0.405015	0.924
157	1	131.069		0.19	1	 1.31887	 1.71322	 1.35837	 1.21926	  2.4	-0.0197511	 0.374605	0.954
158	1	132.069		0.18	1	 1.30999	 1.69664	 1.39145	 1.22033	  2.3	-0.0407299	 0.345915	0.989
159	1	132.342	i37044Gh	0.18	1	 1.30769	 1.69231	 1.40000	 1.22051	  2.3	-0.0461538	 0.338462	1.000
160	1	133.342		0.07	1	 1.37893	 1.60857	 1.40007	 1.23804	  0.9	-0.0105693	 0.219068	0.988
161	1	133.759	i03997Gh	0.04	1	 1.41677	 1.57127	 1.40012	 1.24294	  0.5	 0.00832349	 0.162830	1.000
162	1	134.759		0.06	1	 1.37402	 1.59677	 1.40023	 1.23891	  0.8	-0.0131074	 0.209647	0.980
163	1	135.477	i63799Gm	0.08	1	 1.34879	 1.60723	 1.40063	 1.23582	  1.1	-0.0259207	 0.232515	0.990
164	1	135.477	i50008Gb	0.08	1	 1.34879	 1.60723	 1.40063	 1.23582	  1.1	-0.0259207	 0.232515	0.990
165	1	136.477		0.05	1	 1.34959	 1.57560	 1.45428	 1.24087	  0.7	-0.0523449	 0.173663	0.958
166	1	137.477		0.04	1	 1.35421	 1.53404	 1.51070	 1.24348	  0.5	-0.0782476	 0.101587	0.939
167	1	138.477		0.04	1	 1.36153	 1.48490	 1.56623	 1.24301	  0.5	-0.102347	 0.0210218	0.933
168	1	139.477		0.06	1	 1.36997	 1.43195	 1.61689	 1.23923	  0.8	-0.123458	-0.0614811	0.940
169	1	140.477		0.11	1	 1.37790	 1.37950	 1.65936	 1.23238	  1.3	-0.140729	-0.139132	0.959
170	1	140.932	i04023Gh	0.13	1	 1.38098	 1.35686	 1.67537	 1.22842	  1.7	-0.147194	-0.171315	0.973
171	1	141.932		0.12	1	 1.40267	 1.34161	 1.67319	 1.22956	  1.6	-0.135256	-0.196322	0.942
172	1	142.932		0.11	1	 1.42288	 1.33204	 1.66684	 1.23108	  1.5	-0.121978	-0.212825	0.920
173	1	143.932		0.10	1	 1.44098	 1.32894	 1.65537	 1.23312	  1.3	-0.107198	-0.219229	0.904
174	1	144.932		0.09	1	 1.45672	 1.33269	 1.63812	 1.23570	  1.1	-0.0906977	-0.214733	0.897
175	1	145.932		0.07	1	 1.47012	 1.34329	 1.61490	 1.23870	  0.8	-0.0723899	-0.199218	0.897
176	1	146.932		0.05	1	 1.48116	 1.36041	 1.58618	 1.24186	  0.6	-0.0525115	-0.173262	0.905
177	1	147.932		0.03	1	 1.48978	 1.38325	 1.55328	 1.24483	  0.4	-0.0317507	-0.138274	0.920
178	1	148.932		0.01	1	 1.49583	 1.41047	 1.51831	 1.24720	  0.2	-0.0112417	-0.0966013	0.943
179	1	149.932		0.00	1	 1.49921	 1.44017	 1.48398	 1.24863	  0.0	 0.00761405	-0.0514229	0.974
180	1	150.641	i04060Gh	0.00	1	 1.50000	 1.46154	 1.46154	 1.24893	  0.0	 0.0192308	-0.0192308	1.000
181	1	150.641	i27709Gh	0.00	1	 1.50000	 1.46154	 1.46154	 1.24893	  0.0	 0.0192308	-0.0192308	1.000
182	1	151.641		0.01	1	 1.54248	 1.43458	 1.46155	 1.24752	  0.1	 0.0404609	-0.0674328	0.974
183	1	152.641		0.03	1	 1.58921	 1.41177	 1.46156	 1.24483	  0.4	 0.0638201	-0.113619	0.975
184	1	153.530	i18672Gh	0.05	1	 1.62500	 1.40000	 1.46154	 1.24183	  0.6	 0.0817308	-0.143269	1.000
185	1	153.530	i25804Gh	0.05	1	 1.62500	 1.40000	 1.46154	 1.24183	  0.6	 0.0817308	-0.143269	1.000
